"PSComputerName","RunspaceId","PSShowComputerName","ActionSuccess","AdditionalActionsBitMask","AMProductVersion","CleaningActionID","CurrentThreatExecutionStatusID","DetectionID","DetectionSourceTypeID","DomainUser","InitialDetectionTime","LastThreatStatusChangeTime","ProcessName","RemediationTime","Resources","ThreatID","ThreatStatusErrorCode","ThreatStatusID"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{08C6CED0-B4EC-476B-8520-9906139BD888}","3","PROTEUS\Bitpusher","2024-07-03 08:19:20","2024-07-03 08:19:30","C:\Program Files (x86)\Dropbox\Client\Dropbox.exe","2024-07-03 08:19:30","System.String[]","2147895046","0","3"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{14F58319-D20E-4C7D-BAC8-C216D3F1CBED}","3","PROTEUS\Bitpusher","2024-08-02 08:05:18","2024-08-02 08:05:35","D:\Dolos\Dropbox\app\unison\bin\unison.exe","2024-08-02 08:05:35","System.String[]","2147725326","0","3"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{3575A2F3-96EE-475F-9BF0-EDCD93A8A462}","3","PROTEUS\Bitpusher","2024-08-02 08:05:25","2024-08-02 08:05:35","C:\Program Files (x86)\Dropbox\Client\Dropbox.exe","2024-08-02 08:05:35","System.String[]","2147725326","0","3"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{3C50F49B-27F6-45FA-AA7D-710F9D7EF41C}","3","PROTEUS\Bitpusher","2025-08-13 07:51:37","2025-08-13 07:51:49","D:\Dolos\Dropbox\app\unison\bin\unison.exe","2025-08-13 07:51:49","System.String[]","2147946580","0","3"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{55737D24-391F-4F0A-931D-BB46A81F63A6}","3","PROTEUS\Bitpusher","2025-08-13 08:10:45","2025-08-13 08:10:58","D:\Dolos\Dropbox\app\unison\bin\unison.exe","2025-08-13 08:10:58","System.String[]","2147946580","0","3"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{5665663B-07E2-40A1-8827-7FC7CE3A1442}","3","PROTEUS\Bitpusher","2025-08-13 07:52:44","2025-08-13 07:52:56","D:\Dolos\Dropbox\app\unison\bin\unison.exe","2025-08-13 07:52:56","System.String[]","2147946580","0","3"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{66469C7B-F8B5-436E-A635-BBE7F9D3D85C}","2","NT AUTHORITY\SYSTEM","2025-08-13 07:51:04","2025-08-13 07:51:11","D:\Dolos\Dropbox\app\unison\bin\unison.exe","2025-08-13 07:51:11","System.String[]","2147946580","0","3"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{6E27D485-1579-4EE1-8ACE-1858CCDF35EE}","3","PROTEUS\Bitpusher","2025-07-07 18:23:22","2025-07-07 18:23:36","C:\Users\Bitpusher\Desktop\nxc.exe","2025-07-07 18:23:36","System.String[]","2147826620","-2142207965","103"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{76645A5C-C0FA-40B9-A4D8-A40E0A0385E1}","3","PROTEUS\Bitpusher","2024-08-01 22:26:37","2024-08-01 22:26:47","C:\Program Files (x86)\Dropbox\Client\Dropbox.exe","2024-08-01 22:26:47","System.String[]","2147725326","0","3"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{7822A49F-BA5F-4231-A3CB-7BD77BD7FF33}","3","PROTEUS\Bitpusher","2025-08-13 08:02:41","2025-08-13 08:02:46","D:\Dolos\Dropbox\app\unison\bin\unison.exe","2025-08-13 08:02:46","System.String[]","2147946580","0","3"
"localhost","739ef21e-5429-4944-9db2-b251b2e12366","False","True","0","4.18.26060.3008","2","1","{8AB85DA5-3D3C-4480-BE50-2E882E03F32F}","3","PROTEUS\Bitpusher","2024-08-01 23:25:45","2024-08-01 23:25:57","D:\Dolos\Dropbox\app\unison\bin\unison.exe","2024-08-01 23:25:57","System.String[]","2147725326","0","3"
